date,country_id,product,txn_amount_local,fee_bps,cost_bps,topup_fee_fixed,channel
2024-01-17,ARG,Card,1450.11,135,20,0,App
2024-01-20,ARG,TopUp,28.52,0,0,2,API
2024-01-22,ARG,Card,1156.01,150,38,0,Web
2024-01-23,ARG,TopUp,45.46,0,0,2,App
2024-01-16,ARG,P2P,736.61,16,12,0,App
2024-01-18,ARG,Card,909.41,132,31,0,App
2024-01-01,ARG,Card,1461.3,125,29,0,Web
2024-01-10,ARG,Card,579.8,84,40,0,App
2024-01-09,ARG,Card,973.61,124,22,0,Web
2024-01-14,ARG,QR,467.18,63,23,0,App
2024-01-19,ARG,Card,700.69,125,32,0,App
2024-01-12,ARG,Card,287.31,126,29,0,App
2024-01-23,ARG,Card,443.47,125,38,0,App
2024-01-13,ARG,Card,1423.67,105,23,0,POS
2024-01-27,ARG,Loan,85656.52,632,83,0,App
2024-01-10,ARG,Card,1496.42,97,26,0,POS
2024-01-18,ARG,Card,1677.45,123,32,0,App
2024-01-24,ARG,Card,1441.75,83,24,0,App
2024-01-13,ARG,P2P,106.39,30,14,0,App
2024-01-08,ARG,Card,1602.58,83,26,0,App
2024-01-10,ARG,Card,1673.0,143,21,0,App
2024-01-05,ARG,Card,708.28,112,25,0,App
2024-01-26,ARG,Card,1160.34,101,29,0,App
2024-01-18,ARG,Card,642.89,96,24,0,App
2024-01-04,ARG,P2P,613.19,13,15,0,App
2024-01-07,ARG,QR,281.68,61,26,0,App
2024-01-14,ARG,TopUp,42.39,0,0,1,QR
2024-01-09,ARG,Card,1023.46,99,37,0,App
2024-01-19,ARG,Loan,27136.84,744,145,0,App
2024-01-16,ARG,TopUp,47.5,0,0,1,App
2024-01-17,ARG,Card,1727.68,88,33,0,Web
2024-01-06,ARG,QR,162.31,88,16,0,App
2024-01-19,ARG,TopUp,9.0,0,0,1,Web
2024-01-12,ARG,Card,600.54,144,25,0,App
2024-01-27,ARG,P2P,379.68,29,6,0,Web
2024-01-20,ARG,QR,324.2,50,17,0,Web
2024-01-04,ARG,P2P,656.32,24,6,0,QR
2024-01-02,ARG,TopUp,17.69,0,0,1,App
2024-01-12,ARG,Card,1957.05,101,33,0,App
2024-01-11,ARG,Card,1691.39,90,29,0,App
2024-01-01,ARG,Card,1774.68,117,33,0,Web
2024-01-24,ARG,P2P,150.16,16,14,0,App
2024-01-14,ARG,TopUp,19.63,0,0,2,App
2024-01-04,ARG,P2P,988.2,19,5,0,App
2024-01-01,ARG,QR,288.67,65,28,0,Web
2024-01-02,ARG,P2P,896.67,20,8,0,App
2024-01-10,ARG,TopUp,19.04,0,0,1,App
2024-01-10,ARG,TopUp,19.1,0,0,2,App
2024-01-11,ARG,Card,1119.79,140,22,0,App
2024-01-24,ARG,TopUp,38.92,0,0,1,App
2024-01-05,ARG,TopUp,17.62,0,0,1,POS
2024-01-17,ARG,P2P,791.09,15,9,0,App
2024-01-08,ARG,P2P,322.22,13,15,0,App
2024-01-12,ARG,QR,472.36,50,28,0,App
2024-01-22,ARG,TopUp,27.81,0,0,1,App
2024-01-07,ARG,Card,816.31,116,33,0,App
2024-01-09,ARG,TopUp,37.74,0,0,1,App
2024-01-06,ARG,P2P,414.65,24,15,0,App
2024-01-08,ARG,Card,466.05,118,24,0,App
2024-01-03,ARG,TopUp,12.47,0,0,2,App
2024-01-24,ARG,TopUp,5.45,0,0,1,App
2024-01-09,ARG,P2P,844.18,20,10,0,App
2024-01-09,ARG,P2P,906.6,16,11,0,App
2024-01-04,ARG,QR,375.73,84,15,0,App
2024-01-01,ARG,Loan,16685.07,633,127,0,QR
2024-01-22,ARG,Card,1466.87,129,20,0,App
2024-01-22,ARG,QR,206.2,89,21,0,POS
2024-01-02,ARG,P2P,194.46,20,11,0,App
2024-01-04,ARG,Card,1028.37,95,39,0,QR
2024-01-18,ARG,Card,699.12,123,36,0,App
2024-01-08,ARG,Card,1200.52,129,21,0,App
2024-01-22,ARG,Loan,53486.29,718,142,0,App
2024-01-16,ARG,QR,223.62,82,27,0,App
2024-01-24,ARG,QR,108.75,71,25,0,Web
2024-01-16,ARG,Card,957.92,112,35,0,QR
2024-01-07,ARG,P2P,437.34,18,8,0,App
2024-01-08,ARG,Card,892.03,133,34,0,App
2024-01-14,ARG,P2P,798.4,15,7,0,App
2024-01-03,ARG,Card,1710.92,118,40,0,App
2024-01-09,ARG,Card,583.64,94,28,0,Web
2024-01-25,ARG,Card,1199.51,119,26,0,Web
2024-01-20,ARG,QR,77.38,44,19,0,App
2024-01-21,ARG,QR,185.7,90,26,0,Web
2024-01-14,ARG,QR,323.14,58,20,0,App
2024-01-10,ARG,Card,1699.92,87,40,0,App
2024-01-09,ARG,Loan,37346.78,577,127,0,App
2024-01-14,ARG,Card,531.41,149,30,0,App
2024-01-28,ARG,Card,1622.56,118,38,0,App
2024-01-24,ARG,Card,1289.92,106,25,0,Web
2024-01-05,ARG,Card,1127.12,146,37,0,QR
2024-01-04,ARG,Card,935.77,116,37,0,App
2024-01-03,ARG,P2P,145.78,17,10,0,App
2024-01-16,ARG,Card,1278.11,149,33,0,POS
2024-01-15,ARG,QR,450.09,42,23,0,Web
2024-01-14,ARG,TopUp,49.13,0,0,2,QR
2024-01-26,ARG,QR,198.77,45,25,0,App
2024-01-13,ARG,TopUp,36.64,0,0,2,App
2024-01-14,ARG,TopUp,35.8,0,0,1,App
2024-01-22,ARG,QR,303.79,63,19,0,App
2024-01-15,ARG,Card,1272.61,101,33,0,App
2024-01-16,ARG,QR,268.82,62,15,0,App
2024-01-13,ARG,P2P,161.45,20,8,0,App
2024-01-17,ARG,Card,1508.94,124,33,0,Web
2024-01-27,ARG,Loan,99763.35,942,117,0,App
2024-01-11,ARG,TopUp,24.46,0,0,1,App
2024-01-06,ARG,P2P,405.91,12,13,0,App
2024-01-08,ARG,Card,1544.98,128,25,0,App
2024-01-08,ARG,Card,1589.59,87,22,0,QR
2024-01-28,ARG,P2P,176.59,24,10,0,App
2024-01-25,ARG,QR,303.13,58,16,0,Referral
2024-01-05,ARG,P2P,536.71,25,14,0,App
2024-01-11,ARG,Card,1347.02,132,40,0,App
2024-01-07,ARG,Card,1507.14,126,26,0,App
2024-01-17,ARG,Card,1330.95,97,36,0,App
2024-01-22,ARG,P2P,682.7,14,13,0,QR
2024-01-27,ARG,TopUp,30.73,0,0,2,App
2024-01-02,ARG,P2P,857.5,28,8,0,App
2024-01-03,ARG,Card,228.15,84,32,0,App
2024-01-28,ARG,Card,1085.5,149,37,0,App
2024-01-08,ARG,Loan,37885.5,571,103,0,App
2024-01-13,ARG,P2P,507.06,17,10,0,App
2024-01-21,ARG,QR,458.79,66,22,0,App
2024-01-01,ARG,Card,1598.01,94,24,0,App
2024-01-25,ARG,Card,1673.46,128,38,0,App
2024-01-11,ARG,Loan,42698.24,574,147,0,Web
2024-01-03,ARG,QR,467.97,87,26,0,App
2024-01-20,ARG,Card,1256.94,129,22,0,Web
2024-01-08,ARG,QR,199.62,84,22,0,App
2024-01-13,ARG,P2P,522.87,29,6,0,App
2024-01-25,ARG,Card,247.58,95,30,0,QR
2024-01-14,ARG,QR,86.64,74,17,0,QR
2024-01-22,ARG,Loan,31299.14,513,109,0,App
2024-01-14,ARG,Card,288.32,121,35,0,App
2024-01-25,ARG,P2P,310.36,27,5,0,App
2024-01-10,ARG,QR,51.09,61,24,0,Web
2024-01-14,ARG,TopUp,12.32,0,0,2,Web
2024-01-06,ARG,P2P,816.15,27,5,0,App
2024-01-10,ARG,Card,396.99,80,39,0,Web
2024-01-23,ARG,Card,1116.16,141,37,0,QR
2024-01-24,ARG,TopUp,47.57,0,0,2,App
2024-01-24,ARG,Card,1146.73,148,38,0,App
2024-01-10,ARG,TopUp,25.38,0,0,1,App
2024-01-11,ARG,Card,1304.38,108,27,0,App
2024-01-09,ARG,P2P,794.85,20,6,0,App
2024-01-18,ARG,Card,1858.73,100,28,0,App
2024-01-28,ARG,TopUp,27.3,0,0,1,App
2024-01-04,ARG,Card,785.06,123,26,0,App
2024-01-12,ARG,Loan,80824.46,513,130,0,App
2024-01-27,ARG,QR,255.67,85,24,0,App
2024-01-10,ARG,Card,1538.69,147,33,0,App
2024-01-28,ARG,Loan,50567.54,743,132,0,Web
2024-01-17,ARG,Card,712.75,91,27,0,App
2024-01-28,ARG,P2P,311.56,14,10,0,App
2024-01-28,ARG,P2P,714.73,24,15,0,App
2024-01-03,ARG,TopUp,36.22,0,0,1,QR
2024-01-15,ARG,Card,940.86,98,27,0,App
2024-01-13,ARG,Card,1572.73,103,29,0,App
2024-01-17,ARG,TopUp,16.75,0,0,2,App
2024-01-02,ARG,QR,383.55,74,17,0,Web
2024-01-11,ARG,P2P,825.11,26,7,0,App
2024-01-09,ARG,Loan,84904.08,580,106,0,App
2024-01-14,ARG,QR,201.38,50,23,0,App
2024-01-25,ARG,Card,466.92,126,38,0,Web
2024-01-22,ARG,Card,390.03,116,33,0,POS
2024-01-11,ARG,P2P,361.06,17,14,0,App
2024-01-28,ARG,Card,491.99,124,33,0,App
2024-01-03,ARG,TopUp,15.37,0,0,1,QR
2024-01-04,ARG,Card,1906.67,94,34,0,App
2024-01-16,ARG,Card,746.56,85,21,0,POS
2024-01-08,ARG,Card,1276.82,144,29,0,App
2024-01-28,ARG,Card,957.74,102,26,0,App
2024-01-01,ARG,QR,85.04,72,29,0,QR
2024-01-06,ARG,TopUp,10.65,0,0,2,Referral
2024-01-15,ARG,QR,141.15,67,15,0,App
2024-01-10,ARG,Card,1037.65,104,20,0,QR
2024-01-25,ARG,TopUp,35.15,0,0,2,App
2024-01-16,ARG,TopUp,29.17,0,0,1,App
2024-01-03,ARG,Card,1159.25,86,36,0,App
2024-01-08,ARG,Card,1820.64,126,33,0,App
2024-01-22,ARG,Card,986.97,138,30,0,App
2024-01-04,ARG,Loan,56265.61,584,124,0,App
2024-01-02,ARG,Loan,68109.14,951,124,0,App
2024-01-15,ARG,Card,1527.72,81,35,0,Web
2024-01-21,ARG,QR,486.89,46,15,0,App
2024-01-03,ARG,Card,863.38,147,26,0,App
2024-01-28,ARG,Card,556.41,114,38,0,QR
2024-01-27,ARG,Card,1731.86,131,32,0,App
2024-01-02,ARG,QR,331.8,67,16,0,App
2024-01-09,ARG,P2P,327.46,23,7,0,Web
2024-01-07,ARG,QR,486.98,65,26,0,App
2024-01-23,ARG,Card,1385.91,88,28,0,App
2024-01-06,ARG,QR,483.73,73,17,0,App
2024-01-14,ARG,TopUp,26.72,0,0,1,QR
2024-01-19,ARG,Card,282.12,125,40,0,App
2024-01-10,ARG,Loan,79971.21,837,147,0,App
2024-01-12,ARG,Card,1251.52,102,37,0,Web
2024-01-15,ARG,Card,822.56,143,34,0,App
2024-01-16,ARG,Card,1195.53,129,31,0,Web
2024-01-17,ARG,QR,365.03,87,28,0,App
2024-01-25,ARG,QR,424.97,58,29,0,App
2024-01-09,ARG,Card,1735.88,109,24,0,App
2024-01-14,ARG,Loan,56306.05,967,149,0,POS
2024-01-06,ARG,Card,828.45,127,29,0,App
2024-01-20,ARG,P2P,529.94,17,12,0,App
2024-01-01,ARG,QR,303.25,64,17,0,App
2024-01-04,ARG,QR,215.79,41,15,0,Web
2024-01-10,ARG,QR,282.07,83,21,0,Web
2024-01-05,ARG,TopUp,48.68,0,0,2,App
2024-01-13,ARG,Card,488.47,120,36,0,App
2024-01-12,ARG,QR,249.26,52,19,0,App
2024-01-04,ARG,Card,1654.14,113,25,0,Web
2024-01-07,ARG,Card,812.87,133,40,0,App
2024-01-26,ARG,Card,779.48,100,25,0,App
2024-01-05,ARG,Card,1977.61,86,39,0,API
2024-01-06,ARG,QR,337.9,85,15,0,API
2024-01-01,ARG,Card,202.73,105,31,0,App
2024-01-24,ARG,Card,1511.23,139,34,0,App
2024-01-27,ARG,TopUp,37.37,0,0,1,App
2024-01-15,ARG,Card,245.04,95,39,0,App
2024-01-10,ARG,TopUp,16.53,0,0,2,App
2024-01-21,ARG,TopUp,6.34,0,0,1,Web
2024-01-27,ARG,TopUp,17.92,0,0,1,App
2024-01-24,ARG,QR,158.04,58,29,0,App
2024-01-07,ARG,P2P,549.62,12,10,0,App
2024-01-19,ARG,TopUp,49.72,0,0,2,App
2024-01-07,ARG,Card,481.87,92,22,0,App
2024-01-11,ARG,Card,951.26,81,22,0,QR
2024-01-14,ARG,P2P,634.19,14,8,0,App
2024-01-13,ARG,Card,955.52,98,21,0,Referral
2024-01-14,ARG,P2P,954.78,15,12,0,App
2024-01-03,ARG,QR,408.68,57,25,0,App
2024-01-17,ARG,Loan,81636.21,814,127,0,App
2024-01-08,ARG,P2P,494.19,26,11,0,Web
2024-01-05,ARG,QR,328.78,58,27,0,QR
2024-01-25,ARG,Card,1809.13,86,32,0,App
2024-01-04,ARG,Card,1984.59,92,34,0,App
2024-01-24,ARG,Loan,51133.84,557,110,0,App
2024-01-26,ARG,QR,437.99,69,16,0,App
2024-01-10,ARG,QR,275.65,60,26,0,App
2024-01-01,ARG,Card,654.45,106,28,0,Web
2024-01-28,ARG,QR,92.92,72,27,0,App
2024-01-24,ARG,P2P,768.39,16,5,0,App
2024-01-24,ARG,Card,1891.99,83,33,0,App
2024-01-11,ARG,Card,539.94,99,38,0,App
2024-01-22,ARG,Card,1294.57,136,21,0,App
2024-01-08,ARG,TopUp,19.26,0,0,2,App
2024-01-05,ARG,Card,1718.54,110,24,0,App
2024-01-09,ARG,TopUp,17.26,0,0,1,App
2024-01-20,ARG,Card,1279.48,120,29,0,App
2024-01-16,ARG,QR,91.04,61,28,0,App
2024-01-15,ARG,Card,1567.59,148,28,0,App
2024-01-21,ARG,Card,653.38,97,31,0,App
2024-01-23,ARG,TopUp,24.77,0,0,2,App
2024-01-17,ARG,Card,474.97,124,24,0,App
2024-01-04,ARG,P2P,967.83,11,5,0,App
2024-01-14,ARG,Card,946.68,95,35,0,POS
2024-01-13,ARG,Card,214.87,80,27,0,App
2024-01-14,ARG,Card,247.97,131,32,0,App
2024-01-05,ARG,QR,114.22,68,23,0,Referral
2024-01-07,ARG,Card,447.49,135,35,0,App
2024-01-08,ARG,TopUp,32.02,0,0,1,App
2024-01-05,ARG,Card,652.91,132,33,0,QR
2024-01-02,ARG,P2P,989.33,23,12,0,Web
2024-01-22,ARG,P2P,797.83,13,11,0,QR
2024-01-19,ARG,P2P,742.8,22,7,0,App
2024-01-19,ARG,Card,1568.84,114,27,0,App
2024-01-20,ARG,TopUp,49.43,0,0,1,QR
2024-01-04,ARG,Card,1243.75,98,25,0,App
2024-01-16,ARG,Card,1058.76,139,30,0,App
2024-01-24,ARG,Card,1657.86,86,23,0,App
2024-01-02,ARG,P2P,637.71,23,14,0,QR
2024-01-26,ARG,Card,1355.28,103,26,0,App
2024-01-10,ARG,QR,160.8,77,23,0,POS
2024-01-10,ARG,Card,1381.44,88,29,0,App
2024-01-06,ARG,QR,56.54,46,22,0,POS
2024-01-12,ARG,P2P,533.43,12,11,0,App
2024-01-27,ARG,QR,474.47,65,27,0,App
2024-01-10,ARG,QR,282.51,46,30,0,App
2024-01-28,ARG,QR,401.18,84,15,0,App
2024-01-10,ARG,QR,317.38,59,30,0,App
2024-01-14,ARG,P2P,774.73,22,10,0,Web
2024-01-18,ARG,QR,448.83,57,21,0,App
2024-01-05,ARG,Card,843.42,91,39,0,App
2024-01-28,ARG,P2P,449.19,13,5,0,App
2024-01-25,ARG,Card,1425.39,90,34,0,App
2024-01-09,ARG,TopUp,39.68,0,0,1,QR
2024-01-08,ARG,Card,984.5,121,34,0,App
2024-01-08,ARG,QR,389.36,64,30,0,App
2024-01-07,ARG,QR,110.77,47,23,0,App
2024-01-25,ARG,P2P,454.94,22,7,0,App
2024-01-09,ARG,TopUp,23.01,0,0,1,App
2024-01-01,ARG,P2P,783.87,20,9,0,App
2024-01-16,ARG,P2P,879.18,25,11,0,App
2024-01-22,ARG,P2P,625.62,22,10,0,App
2024-01-28,ARG,Card,1109.25,111,24,0,App
2024-01-07,ARG,P2P,758.22,29,12,0,App
2024-01-11,ARG,QR,87.27,72,15,0,Web
2024-01-10,ARG,P2P,596.47,12,9,0,App
2024-01-03,ARG,P2P,158.84,10,13,0,App
2024-01-17,ARG,Card,1147.55,82,28,0,App
2024-01-06,ARG,Card,923.11,111,22,0,App
2024-01-19,ARG,P2P,825.74,28,6,0,App
2024-01-23,ARG,TopUp,24.61,0,0,1,App
2024-01-20,ARG,TopUp,18.54,0,0,2,Web
2024-01-19,ARG,P2P,820.38,29,14,0,App
2024-01-02,ARG,P2P,575.53,28,11,0,App
2024-01-26,ARG,Loan,65631.03,724,147,0,App
2024-01-15,ARG,QR,144.52,78,30,0,Referral
2024-01-11,ARG,TopUp,32.45,0,0,1,Web
2024-01-17,ARG,Card,1376.78,84,33,0,API
2024-01-18,ARG,P2P,499.8,24,5,0,POS
2024-01-03,ARG,QR,260.59,53,29,0,App
2024-01-11,ARG,QR,371.87,85,16,0,QR
2024-01-05,ARG,Card,1390.47,132,28,0,App
2024-01-28,ARG,QR,432.5,47,26,0,App
2024-01-02,ARG,QR,117.05,50,22,0,App
2024-01-13,ARG,QR,52.81,67,20,0,App
2024-01-25,ARG,P2P,436.64,24,13,0,QR
2024-01-18,ARG,Card,898.47,86,24,0,App
